No,Unit,Channel,Year,Month,Views Cummulative,Engaged views,Watch time (hours),Subscribers,Average view duration,Average percentage viewed (%),Videos published,Impressions,Impressions click-through rate (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Shares,Comments added,Revenue Cummulative (IDR),Transaction revenue (IDR),Transactions,YouTube Premium (IDR),Watch Page ads (IDR),YouTube ad revenue (IDR),Ad impressions,CPM (IDR),Estimated monetized playbacks,RPM (IDR),Product clicks,Product impressions,Total sales (IDR),Orders,YouTube Premium views,YouTube Premium watch time (hours),Hours streamed,Reminders set,Chat messages,Reactions,Remix count,Remix views,Community clip views,Watch time from community clips (hours),Card clicks,Cards shown,End screen element clicks,End screen elements shown, Total members, Active members, Members gained, Members lost, Canceled memberships, Exit surveys, Average membership tenure (days), Churn rate (%),Lifetime Subscriber/Followers,New Subscribers/Followers,Views Fresh Content, Revenue Fresh Content (IDR), Revenue Fresh Content (USD),"View
 Male (%)","View
 Female (%)","View
 Other (%)",13 - 17 Years,18 - 24 Years,25 - 34 Years,35 - 44 Years,45 - 54 Years,55 - 64 Years,65+ Years
100,iNews,Buletin iNews GTV,2026,April,"3,625,537","3,528,167","94,406","1,777",00:01:36,34,103,"34,380,202",8,"2,434,073","1,045,393","1,214,538","1,105,593","108,945","4,402","2,625","13,996",339,"4,497","6,893","6,506,363",0,0,"198,478","6,292,198","11,201,403","1,239,110","9,040","1,046,489","1,734",0,28,0,0,"41,248","1,529",0,0,0,0,10,"15,992",0,0,0,0,30,"3,193",,,,,,,,,"1,628,598","1,777","968,368","  3,630,981 ",,72.90%,27.00%,0.10%,2.00%,7.60%,32.80%,24.50%,17.40%,10.90%,4.70%
101,iNews,Buletin iNews GTV,2026,May,"3,039,733","2,842,115","92,947","2,119",00:01:57,6,263,"28,657,770",7,"2,142,935","1,039,811","982,894","895,608","87,286","4,145","2,026","12,426",684,"10,692","6,352","7,446,464",0,0,"212,605","7,215,820","13,035,398","1,384,989","9,412","1,154,824","2,641",0,39,0,0,"36,074","1,750",41,43,563,"3,135",12,"25,916",0,0,0,0,27,"3,806",,,,,,,,,"1,630,716","2,119","1,165,632","  4,938,191 ",,69.00%,31.00%,0.00%,2.20%,8.00%,32.90%,23.90%,16.30%,11.10%,5.60%
102,iNews,Buletin iNews GTV,2026,June,"3,373,219","3,160,689","116,421","2,070",00:02:12,15,378,"35,905,261",7,"2,418,856","1,266,452","1,031,352","934,568","96,784","4,724","2,654","17,108","1,331","8,120","11,698","9,911,846",0,0,"295,165","9,598,625","17,415,222","1,804,529","9,651","1,546,259","3,118",0,31,0,0,"53,109","2,311",29,198,"1,931",340,16,"26,756",0,0,0,0,21,"2,552",,,,,,,,,"1,632,786","2,070","1,503,939","  6,688,155 ",,68.40%,31.50%,0.10%,2.60%,9.10%,33.20%,22.80%,15.10%,11.20%,6.20%
103,iNews,Buletin iNews GTV,2026,July,"2,769,871","2,672,176","109,293","1,651",00:02:27,20,505,"30,096,952",7,"1,984,553","728,763","922,103","815,507","106,596","3,798","2,147","8,802",603,"4,379","9,751","8,350,369",0,0,"284,673","8,049,234","14,602,460","1,560,158","9,360","1,326,778","3,151",0,16,0,0,"43,763","2,220",14,198,83,65,8,"14,429",0,0,0,0,41,"4,124",,,,,,,,,"1,634,438","1,651","1,457,807","  6,132,004 ",,73.90%,26.10%,0.10%,1.70%,6.80%,30.00%,22.90%,16.80%,13.70%,
104,iNews,Buletin iNews GTV,2026,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,iNews,Buletin iNews GTV,2026,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,iNews,Buletin iNews GTV,2026,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,iNews,Buletin iNews GTV,2026,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,iNews,Buletin iNews GTV,2026,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,iNews,iNews Bali Nusra,2024,January,"19,741","19,741","1,084",-27,00:03:17,22,,"289,611",5,"12,158","9,954","2,204","2,204",0,158,185,176,0,99,19,"61,573",0,0,"2,410","58,943","107,169","10,882","9,848","9,043","3,119",0,0,0,0,409,22,,0,,,,,0,0,0,0,36,461,,,,,,,,,"207,628",-27,,  -   ,,,,,,,,,,,
110,iNews,iNews Bali Nusra,2024,February,"23,008","23,008","1,352",-24,00:03:31,24,,"328,302",5,"15,344","12,870","2,444","2,444",0,149,173,111,-6,70,19,"82,456",0,0,"2,255","79,873","145,223","14,916","9,736","12,172","3,584",0,0,0,0,383,20,,0,,,,,0,0,0,0,28,356,,,,,,,,,"207,604",-24,,  -   ,,,,,,,,,,,
111,iNews,iNews Bali Nusra,2024,March,"23,218","23,218","1,332",-21,00:03:26,24,,"302,891",6,"14,840","12,605","2,235","2,235",0,170,191,104,-2,81,18,"108,980",0,0,"2,033","106,601","193,821","17,969","10,786","13,906","4,694",0,0,0,0,462,22,,0,,,,,0,0,0,0,39,667,,,,,,,,,"207,583",-21,,  -   ,,,,,,,,,,,
112,iNews,iNews Bali Nusra,2024,April,"35,870","35,870","1,432",27,00:02:23,22,1,"399,739",5,"26,215","23,987","2,228","2,228",0,189,162,387,9,94,18,"79,295",0,0,"3,691","72,783","132,333","12,150","10,892","9,749","2,211",0,0,0,0,717,32,,0,,,,,6,0,0,0,25,553,,,,,,,,,"207,610",27,,  -   ,,,,,,,,,,,
113,iNews,iNews Bali Nusra,2024,May,"50,705","50,705","2,743",130,00:03:14,28,1,"502,176",6,"36,027","32,842","3,185","3,185",0,354,224,341,20,122,38,"139,961",0,0,"9,710","128,155","233,009","21,434","10,871","17,344","2,760",0,0,0,0,"1,362",80,,0,,,,,6,0,0,0,26,647,,,,,,,,,"207,740",130,,  -   ,,,,,,,,,,,
114,iNews,iNews Bali Nusra,2024,June,"44,061","44,061","2,624",112,00:03:34,28,,"417,868",6,"33,711","30,839","2,872","2,872",0,337,225,339,22,115,38,"119,951",0,0,"4,815","112,487","204,522","18,189","11,244","14,872","2,722",0,0,0,0,796,37,,0,,,,,0,0,0,0,21,495,,,,,,,,,"207,852",112,,  -   ,,,,,,,,,,,
115,iNews,iNews Bali Nusra,2024,July,"40,386","40,386","2,353",92,00:03:29,27,,"412,806",6,"29,202","26,786","2,416","2,416",0,326,234,322,4,121,32,"114,901",0,0,"3,593","108,950","198,091","22,548","8,785","18,687","2,845",0,0,0,0,637,33,,0,,,,,6,0,0,0,12,520,,,,,,,,,"207,944",92,,  -   ,,,,,,,,,,,
